industry,task_pattern,skill_chain,rationale
Fintech,dashboard|analytics|metrics|data viz,product_ux/cvf_web_ux_redesign_system|web_development/06_chart_data_visualization|product_ux/ux_heuristic_evaluation,Fintech dashboard cần trust-focused style + data visualization + consistent design system
Fintech,payment|checkout|transaction,product_ux/cvf_web_ux_redesign_system|security_compliance/api_security_checklist|product_ux/ux_heuristic_evaluation,Payment flow cần security-first design + trust signals + API security
Fintech,banking|mobile bank|neobank,product_ux/cvf_web_ux_redesign_system|product_ux/accessibility_audit|product_ux/ux_heuristic_evaluation,Mobile banking cần trust + dark mode support + mobile best practices
Fintech,trading|stock|crypto,product_ux/cvf_web_ux_redesign_system|web_development/06_chart_data_visualization|web_development/10_react_performance_audit|product_ux/ux_heuristic_evaluation,Trading UI cần real-time data viz + performance-critical rendering
Fintech,insurance|claim,product_ux/cvf_web_ux_redesign_system|marketing_seo/conversion_landing_optimizer,Insurance cần trust + clear communication + conversion optimization
Fintech,lending|loan|credit,product_ux/cvf_web_ux_redesign_system|security_compliance/gdpr_compliance_review|marketing_seo/conversion_landing_optimizer,Lending cần compliance + trust + conversion funnel
Healthcare,patient portal|medical|health record,product_ux/cvf_web_ux_redesign_system|product_ux/accessibility_audit|product_ux/ux_heuristic_evaluation,Healthcare cần accessibility-first + calming colors + clear typography
Healthcare,telemedicine|telehealth|video consult,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation,Telemedicine cần mobile-first + calming UX + smooth interaction
Healthcare,pharmacy|prescription|medication,product_ux/cvf_web_ux_redesign_system|security_compliance/gdpr_compliance_review|product_ux/ux_heuristic_evaluation,Pharmacy cần HIPAA/privacy compliance + trust + safe color coding
Healthcare,fitness|wellness|gym,product_ux/cvf_web_ux_redesign_system|web_development/06_chart_data_visualization,Fitness cần motivating colors + progress charts + mobile-first
Healthcare,mental health|therapy|meditation,product_ux/cvf_web_ux_redesign_system|product_ux/accessibility_audit,Mental health cần calming + accessible + preference-respecting UI
Ecommerce,product listing|catalog|inventory,product_ux/cvf_web_ux_redesign_system|web_development/07_landing_page_pattern|marketing_seo/product_page_style_matcher|product_ux/ux_heuristic_evaluation,E-commerce listing cần product-focused layout + style matching + conversion
Ecommerce,cart|checkout|order,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation|security_compliance/api_security_checklist,Cart/checkout cần frictionless interaction + secure payment flow
Ecommerce,marketplace|multi vendor,product_ux/cvf_web_ux_redesign_system|web_development/10_react_performance_audit,Marketplace cần scalable design system + performance for many products
Ecommerce,review|rating|feedback,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation|product_ux/accessibility_audit,Review UI cần accessible + trustworthy + clear interaction
Ecommerce,fashion|clothing|apparel,product_ux/cvf_web_ux_redesign_system|marketing_seo/product_page_style_matcher|marketing_seo/conversion_landing_optimizer,Fashion e-commerce cần visual-heavy + style-matched + conversion-optimized
Ecommerce,food|grocery|delivery,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation,Food delivery cần mobile-first + warm colors + fast interaction
SaaS,dashboard|admin|panel,product_ux/cvf_web_ux_redesign_system|web_development/06_chart_data_visualization|web_development/10_react_performance_audit,SaaS dashboard cần professional style + data viz + performance
SaaS,settings|config|preferences,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation|product_ux/accessibility_audit,Settings page cần clear hierarchy + accessible forms + keyboard nav
