rank,name,owner,repo,stars,updatedAt,categories,matched_query,cvf_domain,source,score
1,vercel-react-best-practices,calcom,,40059,2026-02-03T13:14:41+00:00,,code review,app_development,https://github.com/calcom/cal.com/tree/main/agents/skills/vercel-react-best-practices,46124.72
2,agent-browser,baptisteArno,,9668,2026-01-28T21:53:27+00:00,,web app,app_development,https://github.com/baptisteArno/typebot.io/tree/main/.agents/skills/agent-browser,11174.28
3,backend-dev-guidelines,diet103,,8814,2025-10-31T01:41:31+00:00,,backend,app_development,https://github.com/diet103/claude-code-infrastructure-showcase/tree/main/.claude/skills/backend-dev-guidelines,10178.0
4,vercel-composition-patterns,openstatusHQ,,8298,2026-01-31T10:43:58+00:00,,api design,app_development,https://github.com/openstatusHQ/openstatus/tree/main/.agents/skills/vercel-composition-patterns,9599.1
5,frontend-style-guide,lightdash,,5529,2026-02-04T11:19:16+00:00,,frontend,app_development,https://github.com/lightdash/lightdash/tree/main/.claude/skills/frontend-style-guide,6415.38
6,web-e2e,Uniswap,,5471,2025-12-02T20:21:11+00:00,,web app,app_development,https://github.com/Uniswap/interface/tree/main/.claude/skills/web-e2e,6338.75
7,competitor-alternatives,coreyhaines31,,6055,2026-02-04T01:42:39+00:00,,user research,product_ux,https://github.com/coreyhaines31/marketingskills/tree/main/skills/competitor-alternatives,6104.59
8,data-context-extractor,anthropics,,4994,2026-01-29T22:36:17+00:00,,database schema,app_development,https://github.com/anthropics/knowledge-work-plugins/tree/main/data/skills/data-context-extractor,5799.34
9,dev-browser,MemTensor,,4953,2026-01-20T12:10:27+00:00,,web app,app_development,https://github.com/MemTensor/MemOS/tree/main/openwork-memos-integration/apps/desktop/skills/dev-browser,5750.61
10,playwright-app-testing,Expensify,,4701,2026-01-15T23:59:33+00:00,,frontend,app_development,https://github.com/Expensify/App/tree/main/.claude/skills/playwright-app-testing,5460.18
11,whodb,clidey,,4535,2025-12-28T18:44:03+00:00,,database schema,app_development,https://github.com/clidey/whodb/tree/main/cli/external-plugin/whodb/skills/whodb,5266.45
12,baoyu-danger-gemini-web,JimLiu,,3778,2026-01-23T22:10:04+00:00,,backend,app_development,https://github.com/JimLiu/baoyu-skills/tree/main/skills/baoyu-danger-gemini-web,4399.99
13,lazyllm-skill,LazyAGI,,3715,2026-02-04T01:27:46+00:00,,web app,app_development,https://github.com/LazyAGI/LazyLLM/tree/main/docs/lazyllm-skill,4329.28
14,dev-browser,SawyerHood,,3456,2026-01-05T22:53:11+00:00,,web app,app_development,https://github.com/SawyerHood/dev-browser/tree/main/skills/dev-browser,4026.86
15,test-with-postgres,storj,,3223,2026-01-30T14:25:01+00:00,,backend,app_development,https://github.com/storj/storj/tree/main/.claude/skills/test-with-postgres,3762.69
16,frontend-design,Mayandev,,3181,2026-01-09T14:21:46+00:00,,web app,app_development,https://github.com/Mayandev/notion-avatar/tree/main/.claude/skills/frontend-design,3711.08
17,playwriter,remorses,,2736,2026-01-31T17:48:44+00:00,,web app,app_development,https://github.com/remorses/playwriter/tree/main/skills/playwriter,3202.8
18,agent-browser,m1heng,,2638,2026-02-01T18:00:26+00:00,,web app,app_development,https://github.com/m1heng/clawdbot-feishu/tree/main/.agents/skills/agent-browser,3090.25
19,n8n-workflow-patterns,czlonkowski,,2506,2026-01-08T14:38:07+00:00,,api design,app_development,https://github.com/czlonkowski/n8n-skills/tree/main/skills/n8n-workflow-patterns,2934.67
20,webf-quickstart,openwebf,,2309,2026-01-05T17:18:00+00:00,,app development,app_development,https://github.com/openwebf/webf/tree/main/skills/webf-quickstart,2707.65
21,perf-optimizer,OneKeyHQ,,2285,2026-01-31T00:52:10+00:00,,mobile app,app_development,https://github.com/OneKeyHQ/app-monorepo/tree/x/.claude/skills/perf-optimizer,2684.15
22,prototype-prompt-generator,cexll,,2192,2025-12-13T04:33:02+00:00,,mobile app,app_development,https://github.com/cexll/myclaude/tree/master/skills/prototype-prompt-generator,2569.48
23,content-research-writer,davepoon,,2378,2026-01-12T10:19:01+00:00,,content writing,content_creation,https://github.com/davepoon/buildwithclaude/tree/main/plugins/all-skills/skills/content-research-writer,2424.44
24,swiftui-liquid-glass,Dimillian,,1702,2026-01-28T06:10:59+00:00,,api design,app_development,https://github.com/Dimillian/Skills/tree/main/swiftui-liquid-glass,2013.22
25,swiftui-liquid-glass,steipete,,1695,2025-12-31T21:20:20+00:00,,api design,app_development,https://github.com/steipete/agent-scripts/tree/main/skills/swiftui-liquid-glass,2000.92
26,backend-development,mrgoonie,,1666,2025-11-15T08:42:42+00:00,,devops,app_development,https://github.com/mrgoonie/claudekit-skills/tree/main/.claude/skills/backend-development,1960.17
27,create-migration,owid,,1513,2026-01-16T10:20:58+00:00,,database schema,app_development,https://github.com/owid/owid-grapher/tree/master/.claude/skills/create-migration,1793.98
