skill_id,domain,skill_name,difficulty,risk_level,phases,keywords,description,file_path
ai_ml_evaluation/06_ai_use_case_fit,ai_ml_evaluation,AI Use Case Fit,Medium,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,case,dùng,evaluation,fit,giá,ml,nên,use,đánh",Đánh giá có nên dùng AI không,ai_ml_evaluation/06_ai_use_case_fit.skill.md
ai_ml_evaluation/04_bias_detection,ai_ml_evaluation,Bias Detection,Advanced,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,audit,bias,detection,evaluation,ml,system",Audit AI system cho bias,ai_ml_evaluation/04_bias_detection.skill.md
ai_ml_evaluation/building_with_google_adk,ai_ml_evaluation,Building With Google Adk,Easy,R1,"Discovery, Design, Review","adk,agent,agents,ai,ai_ml_evaluation,building,creating,development,evaluation,gemini,google,include,integration,kit,mcp,ml,multi,powered,triggers,use,workflows","> Use when building AI agents with Google's Agent Development Kit (ADK). Triggers include creating ADK agents, Gemini-powered agents, multi-agent workflows, MCP integration with ADK, agent evaluation,",ai_ml_evaluation/building_with_google_adk.skill.md
ai_ml_evaluation/05_cost_optimization,ai_ml_evaluation,Cost Optimization,Medium,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,cao,cost,costs,evaluation,ml,optimization,đang",AI costs đang cao,ai_ml_evaluation/05_cost_optimization.skill.md
ai_ml_evaluation/ml_paper_writing,ai_ml_evaluation,Ml Paper Writing,Easy,R1,"Discovery, Design, Review","aaai,acl,ai,ai_ml_evaluation,citations,colm,conducting,drafting,evaluation,finding,iclr,icml,literature,ml,neurips,paper,papers,publication,ready,related,repos,research,reviews,use,verifying,work,write,writing","> Write publication-ready ML/AI papers for NeurIPS, ICML, ICLR, ACL, AAAI, COLM. Use when drafting papers from research repos, conducting literature reviews, finding related work, verifying citations,",ai_ml_evaluation/ml_paper_writing.skill.md
ai_ml_evaluation/01_model_selection,ai_ml_evaluation,Model Selection,Medium,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,chọn,evaluation,llm,ml,model,mới,selection",Chọn LLM cho dự án mới,ai_ml_evaluation/01_model_selection.skill.md
ai_ml_evaluation/03_output_quality_check,ai_ml_evaluation,Output Quality Check,Easy,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,check,dùng,evaluation,ml,output,quality,review",Review AI output trước khi dùng,ai_ml_evaluation/03_output_quality_check.skill.md
ai_ml_evaluation/02_prompt_evaluation,ai_ml_evaluation,Prompt Evaluation,Medium,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,deploy,evaluation,ml,prompt,review",Review prompt trước khi deploy,ai_ml_evaluation/02_prompt_evaluation.skill.md
ai_ml_evaluation/promptfoo_evaluation,ai_ml_evaluation,Promptfoo Evaluation,Easy,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,assertions,configs,configures,creating,custom,evaluation,framework,implementing,llm,ml,prompt,promptfoo,promptfooconfig,python,runs,setting,testing,use,using,writing,yaml","> Configures and runs LLM evaluation using Promptfoo framework. Use when setting up prompt testing, creating evaluation configs (promptfooconfig.yaml), writing Python custom assertions, implementing l",ai_ml_evaluation/promptfoo_evaluation.skill.md
ai_ml_evaluation/senior_data_scientist,ai_ml_evaluation,Senior Data Scientist,Easy,R1,"Discovery, Design, Review","advanced,ai,ai_ml_evaluation,analytics,causal,class,data,evaluation,experimentation,expertise,inference,learn,methods,ml,modeling,numpy,pandas,python,science,scientist,scikit,senior,skill,sql,statistical,world","> World-class data science skill for statistical modeling, experimentation, causal inference, and advanced analytics. Expertise in Python (NumPy, Pandas, Scikit-learn), R, SQL, statistical methods, A/",ai_ml_evaluation/senior_data_scientist.skill.md
app_development/05_api_design_spec,app_development,API Design Spec,Medium,R1,"Discovery, Design, Build","api,app,app_development,backend,design,development,graphql,rest,spec",App có backend API (REST/GraphQL),app_development/05_api_design_spec.skill.md
app_development/adaptyv,app_development,Adaptyv,Medium,R1,"Discovery, Design, Build","adaptyv,app,app_development,assays,automated,binding,cloud,designing,development,experimental,expression,including,laboratory,needing,platform,protein,proteins,testing,thermostability,use,validation","> Cloud laboratory platform for automated protein testing and validation. Use when designing proteins and needing experimental validation including binding assays, expression testing, thermostability ",app_development/adaptyv.skill.md
app_development/andrew_kane_gem_writer,app_development,Andrew Kane Gem Writer,Medium,R1,"Discovery, Design, Build","andrew,apis,app,app_development,applies,creating,designing,development,existing,following,gem,gems,kane,new,patterns,philosophy,proven,refactoring,ruby,skill,used,whe,writer,writing","> This skill should be used when writing Ruby gems following Andrew Kane's proven patterns and philosophy. It applies when creating new Ruby gems, refactoring existing gems, designing gem APIs, or whe",app_development/andrew_kane_gem_writer.skill.md
app_development/01_app_requirements_spec,app_development,App Requirements Spec,Easy,R1,"Discovery, Design, Build","app,app_development,bắt,development,mới,requirements,spec,đầu",Bắt đầu một dự án app mới,app_development/01_app_requirements_spec.skill.md
app_development/03_architecture_design,app_development,Architecture Design,Advanced,R1,"Discovery, Design, Build","app,app_development,architecture,design,development,requirements,stack,tech",Đã có requirements và tech stack,app_development/03_architecture_design.skill.md
app_development/architecture_paradigm_microservices,app_development,Architecture Paradigm Micro Ervice,Medium,R1,"Discovery, Design, Build","app,app_development,architecture,architectures,autonomy,capabilities,consult,designing,development,devo,different,distinct,ervice,evolving,high,independent,micro,microservices,need,needs,paradigm,releases,scaling,skill,strong,teams,use","> Consult this skill when designing or evolving microservices architectures. Use when teams need high autonomy and independent releases, different capabilities have distinct scaling needs, strong DevO",app_development/architecture_paradigm_microservices.skill.md
app_development/backend_dev_guidelines,app_development,Backend Dev Guideline,Medium,R1,"Discovery, Design, Build","apis,app,app_development,backend,comprehensive,controllers,creating,dev,development,express,guide,guideline,microservices,middleware,node,prisma,repositories,routes,services,typescript,use,working","> Comprehensive backend development guide for Node.js/Express/TypeScript microservices. Use when creating routes, controllers, services, repositories, middleware, or working with Express APIs, Prisma ",app_development/backend_dev_guidelines.skill.md
