skill_id,domain,skill_name,difficulty,risk_level,phases,keywords,description,file_path
ai_ml_evaluation/01_model_selection,ai_ml_evaluation,Model Selection,Medium,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,chọn,evaluation,llm,ml,model,mới,selection",Chọn LLM cho dự án mới,ai_ml_evaluation/01_model_selection.skill.md
ai_ml_evaluation/02_prompt_evaluation,ai_ml_evaluation,Prompt Evaluation,Medium,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,deploy,evaluation,ml,prompt,review",Review prompt trước khi deploy,ai_ml_evaluation/02_prompt_evaluation.skill.md
ai_ml_evaluation/03_output_quality_check,ai_ml_evaluation,Output Quality Check,Easy,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,check,dùng,evaluation,ml,output,quality,review",Review AI output trước khi dùng,ai_ml_evaluation/03_output_quality_check.skill.md
ai_ml_evaluation/04_bias_detection,ai_ml_evaluation,Bias Detection,Advanced,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,audit,bias,detection,evaluation,ml,system",Audit AI system cho bias,ai_ml_evaluation/04_bias_detection.skill.md
ai_ml_evaluation/05_cost_optimization,ai_ml_evaluation,Cost Optimization,Medium,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,cao,cost,costs,evaluation,ml,optimization,đang",AI costs đang cao,ai_ml_evaluation/05_cost_optimization.skill.md
ai_ml_evaluation/06_ai_use_case_fit,ai_ml_evaluation,AI Use Case Fit,Medium,R1,"Discovery, Design, Review","ai,ai_ml_evaluation,case,dùng,evaluation,fit,giá,ml,nên,use,đánh",Đánh giá có nên dùng AI không,ai_ml_evaluation/06_ai_use_case_fit.skill.md
app_development/01_app_requirements_spec,app_development,App Requirements Spec,Easy,R1,"Discovery, Design, Build","app,app_development,bắt,development,mới,requirements,spec,đầu",Bắt đầu một dự án app mới,app_development/01_app_requirements_spec.skill.md
app_development/02_tech_stack_selection,app_development,Tech Stack Selection,Medium,R1,"Discovery, Design, Build","app,app_development,chọn,công,development,nghệ,requirements,selection,stack,tech","Đã có requirements, cần chọn công nghệ",app_development/02_tech_stack_selection.skill.md
app_development/03_architecture_design,app_development,Architecture Design,Advanced,R1,"Discovery, Design, Build","app,app_development,architecture,design,development,requirements,stack,tech",Đã có requirements và tech stack,app_development/03_architecture_design.skill.md
app_development/04_database_schema_design,app_development,Database Schema Design,Medium,R1,"Discovery, Design, Build","app,app_development,database,design,development,schema",|-------|-----------|------|---------|,app_development/04_database_schema_design.skill.md
app_development/05_api_design_spec,app_development,API Design Spec,Medium,R1,"Discovery, Design, Build","api,app,app_development,backend,design,development,graphql,rest,spec",App có backend API (REST/GraphQL),app_development/05_api_design_spec.skill.md
app_development/06_desktop_app_spec,app_development,Desktop App Spec,Medium,R1,"Discovery, Design, Build","app,app_development,application,desktop,development,dựng,linux,macos,spec,windows,xây",Xây dựng desktop application (Windows/macOS/Linux),app_development/06_desktop_app_spec.skill.md
app_development/07_project_init_checklist,app_development,Project Init Checklist,Easy,R1,Discovery (Pre-Phase A),"app,app_development,checklist,development,init,project,skill,use",When to use this skill:,app_development/07_project_init_checklist.skill.md
app_development/08_local_deployment,app_development,Local Deployment Spec,Medium,R1,"Discovery, Design, Build","app,app_development,build,deployment,development,distribute,gói,local,spec,xong,đóng","App đã build xong, cần đóng gói để distribute",app_development/08_local_deployment.skill.md
business_analysis/01_strategy_analysis,business_analysis,Strategy Analysis,Medium,R1,Discovery,"analysis,business,business_analysis,doanh,kinh,phương,strategy,sánh",So sánh các phương án kinh doanh,business_analysis/01_strategy_analysis.skill.md
